,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 10,10:25PM ET,boxscore,W,,1-0,,Arizona Cardinals,20,17,16,194,102,92,1,20,261,100,161,2,-8.12,6.48,4.56
2,Sun,September 16,1:02PM ET,boxscore,W,,2-0,@,St. Louis Rams,17,16,8,186,97,89,2,20,392,331,61,3,-12.07,5.19,6.32
3,Sun,September 23,1:02PM ET,boxscore,L,,2-1,@,Pittsburgh Steelers,16,37,17,289,198,91,1,19,350,145,205,1,-10.84,-9.96,-5.16
4,Sun,September 30,4:05PM ET,boxscore,L,,2-2,,Seattle Seahawks,3,23,9,184,75,109,3,17,371,278,93,1,-35.61,2.57,15.52
5,Sun,October 7,4:15PM ET,boxscore,L,,2-3,,Baltimore Ravens,7,9,6,163,114,49,1,19,315,214,101,,-11.28,5.22,3.02
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 21,1:03PM ET,boxscore,L,,2-4,@,New York Giants,15,33,20,267,164,103,4,21,279,139,140,1,-20.19,-5.19,9.11
8,Sun,October 28,4:17PM ET,boxscore,L,,2-5,,New Orleans Saints,10,31,15,260,177,83,1,26,438,336,102,1,-8.49,-15.69,1.39
9,Sun,November 4,1:02PM ET,boxscore,L,,2-6,@,Atlanta Falcons,16,20,16,251,135,116,4,15,286,131,155,1,-15.07,6.88,3.92
10,Mon,November 12,8:41PM ET,boxscore,L,,2-7,@,Seattle Seahawks,0,24,6,173,94,79,2,27,380,274,106,2,-30.51,-4.80,14.74
11,Sun,November 18,4:15PM ET,boxscore,L,,2-8,,St. Louis Rams,9,13,13,244,212,32,2,15,207,105,102,,-17.25,11.39,1.13
12,Sun,November 25,4:06PM ET,boxscore,W,OT,3-8,@,Arizona Cardinals,37,31,21,374,237,137,,25,552,456,96,4,5.53,-6.93,7.40
13,Sun,December 2,1:03PM ET,boxscore,L,,3-9,@,Carolina Panthers,14,31,12,195,136,59,6,20,323,157,166,2,-26.32,0.34,5.22
14,Sun,December 9,4:05PM ET,boxscore,L,,3-10,,Minnesota Vikings,7,27,17,282,209,73,5,11,280,163,117,1,-27.53,4.62,4.80
15,Sat,December 15,8:15PM ET,boxscore,W,,4-10,,Cincinnati Bengals,20,13,22,337,181,156,,15,313,252,61,,10.03,-6.30,1.77
16,Sun,December 23,4:05PM ET,boxscore,W,,5-10,,Tampa Bay Buccaneers,21,19,11,213,116,97,2,20,434,367,67,2,-14.80,10.50,7.29
17,Sun,December 30,1:03PM ET,boxscore,L,,5-11,@,Cleveland Browns,7,20,9,185,73,112,,18,358,195,163,1,-12.42,-2.70,-2.40
