Date,Output,Home
"September 7, 2003",W,1.0
"September 14, 2003",L,0.0
"September 21, 2003",L,1.0
"September 28, 2003",L,0.0
"October 5, 2003",W,1.0
"October 12, 2003",L,0.0
"October 19, 2003",W,1.0
"October 26, 2003",L,0.0
"November 2, 2003",W,1.0
"November 17, 2003",W,1.0
"November 23, 2003",L,0.0
"November 30, 2003",L,0.0
"December 7, 2003",W,1.0
"December 14, 2003",L,0.0
"December 21, 2003",W,0.0
"December 27, 2003",L,1.0
"September 12, 2004",L,1.0
"September 19, 2004",L,0.0
"September 26, 2004",L,0.0
"October 3, 2004",L,1.0
"October 10, 2004",W,1.0
"October 17, 2004",L,0.0
"October 31, 2004",L,0.0
"November 7, 2004",L,1.0
"November 14, 2004",L,1.0
"November 21, 2004",L,0.0
"November 28, 2004",L,1.0
"December 5, 2004",L,0.0
"December 12, 2004",W,0.0
"December 18, 2004",L,1.0
"December 26, 2004",L,1.0
"January 2, 2005",L,0.0
"September 11, 2005",W,1.0
"September 18, 2005",L,0.0
"September 25, 2005",L,1.0
"October 2, 2005",L,0.0
"October 9, 2005",L,1.0
"October 23, 2005",L,0.0
"October 30, 2005",W,1.0
"November 6, 2005",L,1.0
"November 13, 2005",L,0.0
"November 20, 2005",L,1.0
"November 27, 2005",L,0.0
"December 4, 2005",L,1.0
"December 11, 2005",L,0.0
"December 18, 2005",L,0.0
"December 24, 2005",W,0.0
"January 1, 2006",W,1.0
"September 10, 2006",L,0.0
"September 17, 2006",W,1.0
"September 24, 2006",L,1.0
"October 1, 2006",L,0.0
"October 8, 2006",W,1.0
"October 15, 2006",L,1.0
"October 29, 2006",L,0.0
"November 5, 2006",W,1.0
"November 12, 2006",W,0.0
"November 19, 2006",W,1.0
"November 26, 2006",L,0.0
"December 3, 2006",L,0.0
"December 10, 2006",L,1.0
"December 14, 2006",W,0.0
"December 24, 2006",L,1.0
"December 31, 2006",W,0.0
"September 10, 2007",W,1.0
"September 16, 2007",W,0.0
"September 23, 2007",L,0.0
"September 30, 2007",L,1.0
"October 7, 2007",L,1.0
"October 21, 2007",L,0.0
"October 28, 2007",L,1.0
"November 4, 2007",L,0.0
"November 12, 2007",L,0.0
"November 18, 2007",L,1.0
"November 25, 2007",W,0.0
"December 2, 2007",L,0.0
"December 9, 2007",L,1.0
"December 15, 2007",W,1.0
"December 23, 2007",W,1.0
"December 30, 2007",L,0.0
"September 7, 2008",L,1.0
"September 14, 2008",W,0.0
"September 21, 2008",W,1.0
"September 28, 2008",L,0.0
"October 5, 2008",L,1.0
"October 12, 2008",L,1.0
"October 19, 2008",L,0.0
"October 26, 2008",L,1.0
"November 10, 2008",L,0.0
"November 16, 2008",W,1.0
"November 23, 2008",L,0.0
"November 30, 2008",W,0.0
"December 7, 2008",W,1.0
"December 14, 2008",L,0.0
"December 21, 2008",W,0.0
"December 28, 2008",W,1.0
"September 13, 2009",W,0.0
"September 20, 2009",W,1.0
"September 27, 2009",L,0.0
"October 4, 2009",W,1.0
"October 11, 2009",L,1.0
"October 25, 2009",L,0.0
"November 1, 2009",L,0.0
"November 8, 2009",L,1.0
"November 12, 2009",W,1.0
"November 22, 2009",L,0.0
"November 29, 2009",W,1.0
"December 6, 2009",L,0.0
"December 14, 2009",W,1.0
"December 20, 2009",L,0.0
"December 27, 2009",W,1.0
"January 3, 2010",W,0.0
"September 12, 2010",L,0.0
"September 20, 2010",L,1.0
"September 26, 2010",L,0.0
"October 3, 2010",L,0.0
"October 10, 2010",L,1.0
"October 17, 2010",W,1.0
"October 24, 2010",L,0.0
"October 31, 2010",W,1.0
"November 14, 2010",W,1.0
"November 21, 2010",L,1.0
"November 29, 2010",W,0.0
"December 5, 2010",L,0.0
"December 12, 2010",W,1.0
"December 16, 2010",L,0.0
"December 26, 2010",L,0.0
"January 2, 2011",W,1.0
"September 11, 2011",W,1.0
"September 18, 2011",L,1.0
"September 25, 2011",W,0.0
"October 2, 2011",W,0.0
"October 9, 2011",W,1.0
"October 16, 2011",W,0.0
"October 30, 2011",W,1.0
"November 6, 2011",W,0.0
"November 13, 2011",W,1.0
"November 20, 2011",W,1.0
"November 24, 2011",L,0.0
"December 4, 2011",W,1.0
"December 11, 2011",L,0.0
"December 19, 2011",W,1.0
"December 24, 2011",W,0.0
"January 1, 2012",W,0.0
"January 14, 2012",W,1.0
"January 22, 2012",L,1.0
"September 9, 2012",W,0
"September 16, 2012",W,1
"September 23, 2012",L,0
"September 30, 2012",W,0
"October 7, 2012",W,1
"October 14, 2012",L,1
"October 18, 2012",W,1
"October 29, 2012",W,0
"November 11, 2012",T,1
"November 19, 2012",W,1
"November 25, 2012",W,0
"December 2, 2012",L,0
"December 9, 2012",W,1
"December 16, 2012",W,0
"December 23, 2012",L,0
"December 30, 2012",W,1
"January 12, 2013",W,1
"January 20, 2013",W,0
"February 3, 2013",L,N
"September 8, 2013",W,1.0
"September 15, 2013",L,0.0
"September 22, 2013",L,1.0
"September 26, 2013",W,0.0
"October 6, 2013",W,1.0
"October 13, 2013",W,1.0
"October 20, 2013",W,0.0
"October 27, 2013",W,0.0
"November 10, 2013",L,1.0
"November 17, 2013",L,0.0
"November 25, 2013",W,0.0
"December 1, 2013",W,1.0
"December 8, 2013",W,1.0
"December 15, 2013",W,0.0
"December 23, 2013",W,1.0
"December 29, 2013",W,0.0
"January 5, 2014",W,0.0
"January 12, 2014",W,0.0
"January 19, 2014",L,0.0
"September 7, 2014",W,0.0
"September 14, 2014",L,1.0
"September 21, 2014",L,0.0
"September 28, 2014",W,1.0
"October 5, 2014",W,1.0
"October 13, 2014",W,0.0
"October 19, 2014",L,0.0
"November 2, 2014",L,1.0
"November 9, 2014",W,0.0
"November 16, 2014",W,0.0
"November 23, 2014",W,1.0
"November 27, 2014",L,1.0
"December 7, 2014",L,0.0
"December 14, 2014",L,0.0
"December 20, 2014",L,1.0
"December 28, 2014",W,1.0
