Dates,PdDistrict,DayOfWeek,Crimes,avg_temp,NFL_Game_Day,Day,Month,Year
2003-01-06,BAYVIEW,Monday,50,14,0,6,1,2003
2003-01-06,CENTRAL,Monday,32,14,0,6,1,2003
2003-01-06,INGLESIDE,Monday,26,14,0,6,1,2003
2003-01-06,MISSION,Monday,62,14,0,6,1,2003
2003-01-06,NORTHERN,Monday,52,14,0,6,1,2003
2003-01-06,PARK,Monday,36,14,0,6,1,2003
2003-01-06,RICHMOND,Monday,26,14,0,6,1,2003
2003-01-06,SOUTHERN,Monday,59,14,0,6,1,2003
2003-01-06,TARAVAL,Monday,25,14,0,6,1,2003
2003-01-06,TENDERLOIN,Monday,32,14,0,6,1,2003
2003-01-07,BAYVIEW,Tuesday,50,12,0,7,1,2003
2003-01-07,CENTRAL,Tuesday,35,12,0,7,1,2003
2003-01-07,INGLESIDE,Tuesday,50,12,0,7,1,2003
2003-01-07,MISSION,Tuesday,67,12,0,7,1,2003
2003-01-07,NORTHERN,Tuesday,54,12,0,7,1,2003
2003-01-07,PARK,Tuesday,20,12,0,7,1,2003
2003-01-07,RICHMOND,Tuesday,18,12,0,7,1,2003
2003-01-07,SOUTHERN,Tuesday,53,12,0,7,1,2003
2003-01-07,TARAVAL,Tuesday,23,12,0,7,1,2003
2003-01-07,TENDERLOIN,Tuesday,48,12,0,7,1,2003
2003-01-08,BAYVIEW,Wednesday,59,10,0,8,1,2003
2003-01-08,CENTRAL,Wednesday,51,10,0,8,1,2003
2003-01-08,INGLESIDE,Wednesday,51,10,0,8,1,2003
2003-01-08,MISSION,Wednesday,103,10,0,8,1,2003
2003-01-08,NORTHERN,Wednesday,50,10,0,8,1,2003
2003-01-08,PARK,Wednesday,19,10,0,8,1,2003
2003-01-08,RICHMOND,Wednesday,24,10,0,8,1,2003
2003-01-08,SOUTHERN,Wednesday,101,10,0,8,1,2003
2003-01-08,TARAVAL,Wednesday,25,10,0,8,1,2003
2003-01-08,TENDERLOIN,Wednesday,45,10,0,8,1,2003
2003-01-09,BAYVIEW,Thursday,62,11,0,9,1,2003
2003-01-09,CENTRAL,Thursday,34,11,0,9,1,2003
2003-01-09,INGLESIDE,Thursday,47,11,0,9,1,2003
2003-01-09,MISSION,Thursday,55,11,0,9,1,2003
2003-01-09,NORTHERN,Thursday,42,11,0,9,1,2003
2003-01-09,PARK,Thursday,19,11,0,9,1,2003
2003-01-09,RICHMOND,Thursday,15,11,0,9,1,2003
2003-01-09,SOUTHERN,Thursday,90,11,0,9,1,2003
2003-01-09,TARAVAL,Thursday,22,11,0,9,1,2003
2003-01-09,TENDERLOIN,Thursday,31,11,0,9,1,2003
2003-01-10,BAYVIEW,Friday,63,14,0,10,1,2003
2003-01-10,CENTRAL,Friday,25,14,0,10,1,2003
2003-01-10,INGLESIDE,Friday,33,14,0,10,1,2003
2003-01-10,MISSION,Friday,39,14,0,10,1,2003
2003-01-10,NORTHERN,Friday,66,14,0,10,1,2003
2003-01-10,PARK,Friday,32,14,0,10,1,2003
2003-01-10,RICHMOND,Friday,11,14,0,10,1,2003
2003-01-10,SOUTHERN,Friday,61,14,0,10,1,2003
2003-01-10,TARAVAL,Friday,26,14,0,10,1,2003
2003-01-10,TENDERLOIN,Friday,43,14,0,10,1,2003
2003-01-11,BAYVIEW,Saturday,22,12,0,11,1,2003
2003-01-11,CENTRAL,Saturday,40,12,0,11,1,2003
2003-01-11,INGLESIDE,Saturday,41,12,0,11,1,2003
2003-01-11,MISSION,Saturday,69,12,0,11,1,2003
2003-01-11,NORTHERN,Saturday,45,12,0,11,1,2003
2003-01-11,PARK,Saturday,20,12,0,11,1,2003
2003-01-11,RICHMOND,Saturday,14,12,0,11,1,2003
2003-01-11,SOUTHERN,Saturday,53,12,0,11,1,2003
2003-01-11,TARAVAL,Saturday,40,12,0,11,1,2003
2003-01-11,TENDERLOIN,Saturday,19,12,0,11,1,2003
2003-01-12,BAYVIEW,Sunday,35,14,0,12,1,2003
2003-01-12,CENTRAL,Sunday,32,14,0,12,1,2003
2003-01-12,INGLESIDE,Sunday,39,14,0,12,1,2003
2003-01-12,MISSION,Sunday,44,14,0,12,1,2003
2003-01-12,NORTHERN,Sunday,31,14,0,12,1,2003
2003-01-12,PARK,Sunday,13,14,0,12,1,2003
2003-01-12,RICHMOND,Sunday,18,14,0,12,1,2003
2003-01-12,SOUTHERN,Sunday,56,14,0,12,1,2003
2003-01-12,TARAVAL,Sunday,17,14,0,12,1,2003
2003-01-12,TENDERLOIN,Sunday,39,14,0,12,1,2003
2003-01-20,BAYVIEW,Monday,57,9,0,20,1,2003
2003-01-20,CENTRAL,Monday,39,9,0,20,1,2003
2003-01-20,INGLESIDE,Monday,40,9,0,20,1,2003
2003-01-20,MISSION,Monday,56,9,0,20,1,2003
2003-01-20,NORTHERN,Monday,49,9,0,20,1,2003
2003-01-20,PARK,Monday,19,9,0,20,1,2003
2003-01-20,RICHMOND,Monday,24,9,0,20,1,2003
2003-01-20,SOUTHERN,Monday,78,9,0,20,1,2003
2003-01-20,TARAVAL,Monday,30,9,0,20,1,2003
2003-01-20,TENDERLOIN,Monday,22,9,0,20,1,2003
2003-01-21,BAYVIEW,Tuesday,39,11,0,21,1,2003
2003-01-21,CENTRAL,Tuesday,33,11,0,21,1,2003
2003-01-21,INGLESIDE,Tuesday,43,11,0,21,1,2003
2003-01-21,MISSION,Tuesday,44,11,0,21,1,2003
2003-01-21,NORTHERN,Tuesday,43,11,0,21,1,2003
2003-01-21,PARK,Tuesday,17,11,0,21,1,2003
2003-01-21,RICHMOND,Tuesday,26,11,0,21,1,2003
2003-01-21,SOUTHERN,Tuesday,58,11,0,21,1,2003
2003-01-21,TARAVAL,Tuesday,26,11,0,21,1,2003
2003-01-21,TENDERLOIN,Tuesday,51,11,0,21,1,2003
2003-01-22,BAYVIEW,Wednesday,46,14,0,22,1,2003
2003-01-22,CENTRAL,Wednesday,40,14,0,22,1,2003
2003-01-22,INGLESIDE,Wednesday,48,14,0,22,1,2003
2003-01-22,MISSION,Wednesday,65,14,0,22,1,2003
2003-01-22,NORTHERN,Wednesday,58,14,0,22,1,2003
2003-01-22,PARK,Wednesday,32,14,0,22,1,2003
2003-01-22,RICHMOND,Wednesday,23,14,0,22,1,2003
2003-01-22,SOUTHERN,Wednesday,73,14,0,22,1,2003
2003-01-22,TARAVAL,Wednesday,29,14,0,22,1,2003
2003-01-22,TENDERLOIN,Wednesday,44,14,0,22,1,2003
2003-01-23,BAYVIEW,Thursday,44,14,0,23,1,2003
2003-01-23,CENTRAL,Thursday,40,14,0,23,1,2003
2003-01-23,INGLESIDE,Thursday,49,14,0,23,1,2003
2003-01-23,MISSION,Thursday,71,14,0,23,1,2003
2003-01-23,NORTHERN,Thursday,44,14,0,23,1,2003
2003-01-23,PARK,Thursday,29,14,0,23,1,2003
2003-01-23,RICHMOND,Thursday,20,14,0,23,1,2003
2003-01-23,SOUTHERN,Thursday,93,14,0,23,1,2003
