DayOfWeek,Crimes,avg_temp,NFL_Game_Day,Day,Month,Year
Monday,50,14,0,6,1,2003
Monday,32,14,0,6,1,2003
Monday,26,14,0,6,1,2003
Monday,62,14,0,6,1,2003
Monday,52,14,0,6,1,2003
Monday,36,14,0,6,1,2003
Monday,26,14,0,6,1,2003
Monday,59,14,0,6,1,2003
Monday,25,14,0,6,1,2003
Monday,32,14,0,6,1,2003
Tuesday,50,12,0,7,1,2003
Tuesday,35,12,0,7,1,2003
Tuesday,50,12,0,7,1,2003
Tuesday,67,12,0,7,1,2003
Tuesday,54,12,0,7,1,2003
Tuesday,20,12,0,7,1,2003
Tuesday,18,12,0,7,1,2003
Tuesday,53,12,0,7,1,2003
Tuesday,23,12,0,7,1,2003
Tuesday,48,12,0,7,1,2003
Wednesday,59,10,0,8,1,2003
Wednesday,51,10,0,8,1,2003
Wednesday,51,10,0,8,1,2003
Wednesday,103,10,0,8,1,2003
Wednesday,50,10,0,8,1,2003
Wednesday,19,10,0,8,1,2003
Wednesday,24,10,0,8,1,2003
Wednesday,101,10,0,8,1,2003
Wednesday,25,10,0,8,1,2003
Wednesday,45,10,0,8,1,2003
Thursday,62,11,0,9,1,2003
Thursday,34,11,0,9,1,2003
Thursday,47,11,0,9,1,2003
Thursday,55,11,0,9,1,2003
Thursday,42,11,0,9,1,2003
Thursday,19,11,0,9,1,2003
Thursday,15,11,0,9,1,2003
Thursday,90,11,0,9,1,2003
Thursday,22,11,0,9,1,2003
Thursday,31,11,0,9,1,2003
Friday,63,14,0,10,1,2003
Friday,25,14,0,10,1,2003
Friday,33,14,0,10,1,2003
Friday,39,14,0,10,1,2003
Friday,66,14,0,10,1,2003
Friday,32,14,0,10,1,2003
Friday,11,14,0,10,1,2003
Friday,61,14,0,10,1,2003
Friday,26,14,0,10,1,2003
Friday,43,14,0,10,1,2003
Saturday,22,12,0,11,1,2003
Saturday,40,12,0,11,1,2003
Saturday,41,12,0,11,1,2003
Saturday,69,12,0,11,1,2003
